Institute ID,Institute Name,TLR,RPC,GO,OI,PERCEPTION,City,State,Score,Rank
IR-O-U-0056,Tezpur University,59.71,27.49,63.29,50.67,16.97,Tezpur,Assam,45.59,90
IR-O-U-0410,Malaviya National Institute of Technology,51.72,38.69,60.72,56.19,3.78,Jaipur,Rajasthan,45.27,91
IR-O-U-0295,Datta Meghe Institute of Medical Sciences,65.25,23.54,59.6,65.38,1.12,Wardha,Maharashtra,45.21,92
IR-O-U-0195,University of Jammu,64.9,19.12,74.83,46.63,2.74,Jammu,Jammu and Kashmir,45.11,93
IR-O-U-0642,Shiv Nadar University,63.53,20.75,64.7,61.38,5.8,Dadri,Uttar Pradesh,44.94,94
IR-O-U-0446,Bharath Institute of Higher Education & Research,56.2,23.15,70.31,64.28,4.3,Chennai,Tamil Nadu,44.73,95
IR-O-C-16604,Sri Sivasubramaniya Nadar College of Engineering,53.14,30.69,63.87,52.73,15.04,Kancheepuram,Tamil Nadu,44.69,96
IR-O-U-0564,University of Petroleum and Energy Studies,56.69,19.48,60.48,65.01,31.99,Dehradun,Uttarakhand,44.65,97
IR-O-U-0215,Bangalore University,58.7,17.38,74.73,57.04,10.45,Bangalore,Karnataka,44.53,98
IR-O-U-0331,Tata Institute of Social Sciences,56.66,10.45,78.36,75.42,11.75,Mumbai,Maharashtra,44.52,99
IR-O-U-0249,Visvesvaraya Technological University,58.94,27.28,61.1,58.36,4.3,Belgaum,Karnataka,44.35,100
